"id";"title";"vote_average";"vote_count";"status";"release_date";"revenue";"runtime";"budget";"imdb_id";"original_language";"original_title";"overview";"popularity";"tagline";"genres";"production_companies";"production_countries";"spoken_languages";"cast";"director";"director_of_photography";"writers";"producers";"music_composer";"imdb_rating";"imdb_votes";"poster_path";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Ariel";"7.1";"335";"Released";"21-10-88";"0";"73";"0";"tt0094675";"fi";"Ariel";"After the coal mine he works at closes and his father commits suicide, a Finnish man leaves for the city to make a living but there, he is framed and imprisoned for various crimes.";"11.915";"";"Comedy, Drama, Romance, Crime";"Villealfa Filmproductions";"Finland";"suomi";"Heikki Salomaa, Hanna Jokinen, Matti Pellonpää, Pekka Wilen, Timo Toikka, Tomi Salmela, Tarja Keinänen, Kari Helaseppä, Markku Rantala, Heikki Anttila, Esko Nikkari, Timo Harakka, Mikko Remes, Erkki Pajala, Eetu Hilkamo, Hannu Kivisalo, Matti Jaaranen, Esko Salminen, Jaakko Talaskivi, Turo Pajala, Susanna Haavisto, Merja Pulkkinen, Pentti Auer, Jouko Lumme, Sami Lanki, Kauko Laalo, Reijo Marin, Sirkka Rautiainen, Sakari Kuosmanen, Juuso Hirvikangas, Marja Packalén, Mikko Lyytikäinen, Hannu Viholainen, Jorma Markkula, Veikko Uusimäki, Jyrki Olsonen, Olli Varja, Eino Kuusela, Timo Markko";"Aki Kaurismäki";"Timo Salminen";"Aki Kaurismäki";"Aki Kaurismäki";"";"7.4";"8797";"/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Shadows in Paradise";"7.3";"369";"Released";"17-10-86";"0";"74";"0";"tt0092149";"fi";"Varjoja paratiisissa";"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.";"16.287";"";"Comedy, Drama, Romance";"Villealfa Filmproductions";"Finland";"suomi, English, svenska";"Kati Outinen, Ulla Kuosmanen, Jaakko Talaskivi, Teuvo Rissanen, Bertta Pellonpää, Riikka Kuosmanen, Olli Varja, Malla Hukkanen, Jussi Tiitinen, Kylli Köngäs, Matti Pellonpää, Mari Rantasila, Marina Martinoff, Svante Korkiakoski, Ari Korhonen, Antti Ortamo, Helmeri Pellonpää, Sakke Järvenpää, Mato Valtonen, Erkki Rissanen, Pentti Koski, Aki Kaurismäki, Jukka Mäkinen, Eskil Mansikka, Pekka Laiho, Safka Pekkonen, Sirkka Silin, Haije Alanoja, Neka Haapanen, Tanja Talaskivi, Jukka-Pekka Palo, Sakari Kuosmanen, Esko Nikkari";"Aki Kaurismäki";"Timo Salminen";"Aki Kaurismäki";"Mika Kaurismäki";"";"7.5";"7569";"/nj01hspawPof0mJmlgfjuLyJuRN.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Four Rooms";"5.8";"2628";"Released";"09-12-95";"4257354";"98";"4000000";"tt0113101";"en";"Four Rooms";"It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.";"21.312";"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.";"Comedy";"Miramax, A Band Apart";"United States of America";"English";"Bruce Willis, Tamlyn Tomita, Ione Skye, Sammi Davis, Laura Rush, Amanda de Cadenet, Salma Hayek Pinault, Danny Verduzco, Antonio Banderas, Tim Roth, Paul Calderon, Lili Taylor, Valeria Golino, Paul Skemp, Marisa Tomei, Kathy Griffin, Lana McKissack, Patricia Vonne, Quentin Tarantino, Marc Lawrence, Alicia Witt, David Proval, Kimberly Blair, Madonna, Lawrence Bender, Jennifer Beals, Quinn Hellerman, Unruly Julie McClean";"Quentin Tarantino, Robert Rodriguez, Alexandre Rockwell, Allison Anders";"Guillermo Navarro, Andrzej Sekula, Phil Parmet, Rodrigo García";"Quentin Tarantino, Robert Rodriguez, Alexandre Rockwell, Allison Anders";"Quentin Tarantino, Alexandre Rockwell, Lawrence Bender";"Combustible Edison";"6.7";"112715";"/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Judgment Night";"6.5";"331";"Released";"15-10-93";"12136938";"109";"21000000";"tt0107286";"en";"Judgment Night";"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.";"8.924";"Don't move. Don't whisper. Don't even breathe.";"Action, Crime, Thriller";"Largo Entertainment, JVC, Universal Pictures";"United States of America";"English";"Cuba Gooding Jr., Peter Greene, David L. Crowley, Denis Leary, Eugene Williams, Robert S. Neville, Hank McGill, Darin Mangan, Will Zahrn, Stephen Dorff, Doug Wert, Angela Alvarado, Raichle Watt, Michael DeLorenzo, Michael Wiseman, Jeremy Piven, Nigel Gibbs, Galyn Görg, Michael Scranton, Kathleen Perkins, Christine Harnos, Lydell M. Cheshier, Relioues Webb, Emilio Estevez, Donovan D. Ross, Everlast, Sean O'Grady, Deirdre Kelly, Lauren Robinson, Stuart Abramson, Mark Phelan";"Stephen Hopkins";"Peter Levy";"Jere Cunningham, Lewis Colick";"Gene Levy, Lloyd Segan, Marilyn Vance";"Alan Silvestri";"6.6";"19333";"/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Life in Loops (A Megacities RMX)";"7.5";"27";"Released";"01-01-06";"0";"80";"42000";"tt0825671";"en";"Life in Loops (A Megacities RMX)";"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world \"\"megacities\"\" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006";"3.203";"A Megacities remix.";"Documentary";"inLoops";"Austria";"English, हिन्दी, 日本語, Pусский, Español";"";"Timo Novotny";"Wolfgang Thaler";"Michael Glawogger, Timo Novotny";"Ulrich Gehmacher, Timo Novotny";"";"8.2";"284";"/7ln81BRnPR2wqxuITZxEciCe1lc.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Sunday in August";"7.135";"26";"Released";"02-09-04";"0";"15";"0";"tt0425473";"de";"Sonntag im August";"";"2.729";"";"Drama";"";"Germany";"Deutsch";"Rita Lengyel, Milton Welsh";"Marc Meyer, Anna Haas";"Peter Polsak-Lohmann";"Marc Meyer";"Marc Meyer";"Christian Biegai";"6.8";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Star Wars";"8.204";"20568";"Released";"25-05-77";"775398007";"121";"11000000";"tt0076759";"en";"Star Wars";"Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.";"99.22";"A long time ago in a galaxy far, far away...";"Adventure, Action, Science Fiction";"Lucasfilm Ltd., 20th Century Fox";"United States of America";"English";"Anthony Daniels, Kim Falkinburg, Anthony Forrest, Kenny Baker, Lightning Bear, Roy Straite, Barry Gnome, Frazer Diamond, Colin Higgins, Janice Burchette, Tim Condren, Joe Johnston, Mahjoub, Robert A. Denham, Frank Henson, Shelagh Fraser, David Prowse, Pam Rose, Fred Wood, Gilda Cohen, Garrick Hagon, Peter Sturgeon, Lorne Peterson, Leslie Schofield, Phil Tippett, Jeremy Sinden, Alex McCrindle, Larry Ward, Jon Berg, Carrie Fisher, Barry Copping, Burnell Tucker, Al Lampert, John Sylla, Reg Harding, Peter Cushing, Scott Beach, Geoffrey Moon, Steve Gawley, William Hootkins, Harry Fielder, Grant McCune, Hal Wamsley, Denis Lawson, Linda Jones, Anthony Lang, Phil Brown, Angela Staines, Frances Alfred Basil Tomlin, Harrison Ford, Colin Michael Kitchens, Peter Diamond, Derek Lyons, Sadie Eden, Mandy Morton, Malcolm Tierney, John Chapman, David Ankrum, John Cannon, Bill Weston, Rusty Goffe, Ted Burnett, Ted Gagliano, Isaac Grand, Robert Davies, Eddie Byrne, Alan Harris, Shane Rimmer, Mark Hamill, Peter Mayhew, Richard LeParmentier, Tiffany Hillkurtz, Don Henderson, Alfie Curtis, Salo Gardner, Paul Blake, Morgan Upton, Warwick Diamond, Tom Sylla, Maria De Aragon, Erica Simmons, Laine Liska, Peter Sumner, Graham Ashley, James Earl Jones, Jack Klaff, Jerry Walter, Jack Purvis, Tommy Ilsley, Diana Sadley Way, Drewe Henley, Michael Leader, Alf Mangan, Arthur Howell, George Stock, Annette Jones, Doug Beswick, Joe Kaye, Marcus Powell, Ron Tarr, Alec Guinness, Angus MacInnes, George Roubicek, Melissa Kurtz";"George Lucas";"Gilbert Taylor";"George Lucas";"Rick McCallum, George Lucas, Gary Kurtz";"John Williams";"8.6";"1480709";"/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Finding Nemo";"7.819";"19180";"Released";"30-05-03";"940335536";"100";"94000000";"tt0266543";"en";"Finding Nemo";"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.";"102.869";"There are 3.7 trillion fish in the ocean. They're looking for one.";"Animation, Family";"Pixar";"United States of America";"English";"Bob Bergen, Ellen DeGeneres, Joe Ranft, Elizabeth Perkins, Michaela Jill Murphy, Alexander Gould, Danny Mann, Caroline Kindred, Vanessa Marano, Laura Marano, Evan Sabara, Brad Garrett, Geoffrey Rush, Jack Angel, Eliza Schneider, Ben Stanton, Jordan Ranft, Jess Harnell, Noah Luke, Daryl Sabara, James S. Baker, Jane Carr, Jan Rabson, Kali Whitehurst, Marc John Jefferies, Bruce Spence, Oliver Kindred, Rove McManus, Austin Pendleton, Vicki Lewis, Susan Blu, Barry Humphries, Erik Per Sullivan, Phil Proctor, Nicole Miller, Jim Ward, Leland Grossman, Nicholas Bird, Eric Bana, Jennifer Darling, Jeff Pidgeon, Laraine Newman, Lee Unkrich, Bobby Block, Geoff Brooks, John Ratzenberger, Erica Beck, Lili Ishida, Bradley Trevor Greive, Bill Hunter, Allison Janney, Lisa Peers, Aaron Fors, Andrew Stanton, LuLu Ebeling, Paul Eiding, Sherry Lynn, Mickie McGowan, Emmett Shoemaker, David Ian Salter, Stephen Root, Carlos Alazraqui, Alec Medlock, Annelise Nolting, Bob Peterson, Katherine Ringgold, Willem Dafoe, Albert Brooks";"Andrew Stanton";"Sharon Calahan, Jeremy Lasky";"Jim Capobianco, Blake Tucker, Andrew Stanton, Ronnie del Carmen, Bob Peterson, Will Csaklos, David Reynolds, Adam Bronstein";"Graham Walters, John Lasseter";"Thomas Newman";"8.2";"1137734";"/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Forrest Gump";"8.471";"27448";"Released";"23-06-94";"677387716";"142";"55000000";"tt0109830";"en";"Forrest Gump";"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.";"105.126";"The world will never be the same once you've seen it through the eyes of Forrest Gump.";"Comedy, Drama, Romance";"Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions";"United States of America";"English";"Ione M. Telech, Tyler Long, Ben Waddel, Joe Washington, Hanna Hall, Marla Sucharetza, Al Harrington, Hallie D'Amore, Daniel Chamblin, Mykelti Williamson, Rob Adams, Markus Alexander, Michael Burgess, Harold G. Herthum, Pete Auster, Neal MacMillan, Peter Dobson, Marlena Smalls, Gerald Ford, Haley Joel Osment, Logan Livingston Gomez, John William Galt, Kevin Mangan, Eric Alan Wendell, Fay Genens, Michael Kemmerling, Aaron Izbicki, Danté McCarthy, Bonnie Ann Burgess, Mark Matheisen, Kevin Davis, James Ent, Ed Davis, Afemo Omilami, Dick Stilwell, Peter Bannon, Christopher Jones, John Lennon, Alexander Zemeckis, Robert F. Kennedy, John-Michael Steele, Sonny Shroyer, Ellsworth Hanna, Rebecca Williams, Lazarus Jackson, Darrell O'Cook, Natalie Hendrix Tate, Bobby Richardson, Bill Roberson, Jason McGuire, Kirk Ward, John Simmit, Bryan Hanna, Beau Lotterman, Paul Raczkowski, Russ Isles, John Voldstad, W. Benson Terry, Timothy Record, Michael Garvey, Bob Hope, David Brisbin, Juan Singleton, Aaron Michael Lacey, Gary Robinson, Vanessa Roth, Siobhan Fallon Hogan, John Randall, Joe Stefanelli, Matt Rebenkoff, Joe Alaskey, Chiffonye Cobb, Troy Christian, Todd Adamson, Lonnie Hamilton, Geoffrey Blake, Timothy McNeil, Scott Oliver, Richard Nixon, Jim Hanks, Lyndon B. Johnson, Angela Lomas, Robin Wright, Kurt Russell, Robb Skyler, Beth Aylward, Tim Perry, Christine Seabrook, Bob Harks, Jim Boeke, Charles Boswell, Andrew Lepper, Keri-Anne Bilotta, Steve DeRelian, Kenneth Bevington, Jeanne Hanna, George Kelly, Grand L. Bush, Byron Minns, Jeffrey Winner, Jenny Inge Devaney, Neil Armstrong, Darren W. Conrad, Elvis Presley, Sally Field, Nora Dunfee, Mary Ellen Trainor, Jack Bowden, Tom Hanks, Mike Jolly, Valentine, Jed Gillin, John Worsham, Michael Satterfield, Calvin Gadsden, Daniel J. Gillooly, Elizabeth Hanks, Richard D'Alessandro, Michael J. Oliver, Stephen Bridgewater, Bruce Lucvia, Tiffany Salerno, John Glenn Harding, Michael Jace, George Wallace, Margo Moorer, Hilary Chaplain, Arthur Bremer, Clint Calvert, Grady Bowman, Eric Underwood, Mark A. Rich, Brendan Shanahan, Brett Rice, John Connally, William Shipman, Joe Abby, Jim Keller, Sam Anderson, Jacqueline Lovell, Michael McFall, Zach Hanner, Ronald Reagan, Jay Ross, Michael Conner Humphreys, Leigh Goodoff, Emily Carey, Jim Damron, Michael Mattison, Lenny Herb, Isabel Rose, Aloysius Gigl, Teresa Denton, Frank Geyer, Dick Cavett, Daniel C. Striepeke, Rob Landry, Marcus Batton, Don Fischer, Zhuang Zedong, Christopher James Hall, Russ Wilson, Deborah McTeer, Bob Penny, Conor Kennelly, Greg Brown, Teddy Lane Jr., Michael Flannery, Paulie DiCocco, Matt Wallace, Steven Griffith, Ryan Duncan, Dick Clark, Gary Sinise, John F. Kennedy, Kitty K. Green";"Robert Zemeckis";"Don Burgess";"Eric Roth, Winston Groom";"Steve Starkey, Steve Tisch, Wendy Finerman";"Alan Silvestri";"8.8";"2323022";"/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"American Beauty";"8";"11990";"Released";"15-09-99";"356296601";"122";"15000000";"tt0169547";"en";"American Beauty";"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.";"35.254";"Look closer.";"Drama";"DreamWorks Pictures, Jinks/Cohen Company";"United States of America";"English";"Amber Smith, Chelsea Hertford, Mona Leah, Kent Faulcon, Sue Casey, Chekesha Van Putten, Tom Miller, Spencer Kayden, Carolina Lancaster, Reshma Gajjar, Scott Bakula, Barry Del Sherman, Annette Bening, Dennis Anderson, Elaine Corral Kendall, Mena Suvari, Fort Atkinson, Heather Joy Sher, Nancy Anderson, Marissa Jaret Winokur, Allison Janney, Stephanie Rizzo, Ara Celi, Alison Faulk, John Cho, Lisa Cloud, Joel McCrary, Wes Bentley, Erin Cathryn Strubbe, Matthew Kimbrough, Brenda Wehle, Thora Birch, Kevin Spacey, Emily Zachary, Krista Goodsitt, Chris Cooper, Lily Houtkin, Bruce Cohen, Sam Robards, James Hunter, Peter Gallagher";"Sam Mendes";"Conrad L. Hall";"Alan Ball";"Bruce Cohen, Dan Jinks";"Thomas Newman";"8.3";"1230980";"/wby9315QzVKdW9BonAefg8jGTTb.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
